date,rv60_ann_%,chronic_high,crisis_window,regime
2023-03-06,4.590382471236714,True,False,高波动
2023-03-07,4.522787555599393,False,False,平稳
2023-03-08,4.530742541365111,False,False,平稳
2023-03-09,4.5402496135516515,False,False,平稳
2023-03-10,4.868324484036001,True,False,高波动
2023-03-13,5.00264953963465,True,False,高波动
2023-03-14,5.112394723411534,True,False,高波动
2023-03-15,5.341538912256705,True,False,高波动
2023-03-16,5.440903167847991,True,False,高波动
2023-03-17,5.563758713114966,True,False,高波动
2023-03-20,5.606833591068331,True,False,高波动
2023-03-21,5.651255627734423,True,False,高波动
2023-03-22,5.816605387765534,True,False,高波动
2023-03-23,5.823882829513168,True,False,高波动
2023-03-24,5.828185815561465,True,False,高波动
2023-03-27,5.928225580805377,True,False,高波动
2023-03-28,5.922146636662722,True,False,高波动
2023-03-29,5.903123760360746,True,False,高波动
2023-03-30,5.896766518025086,True,False,高波动
2023-03-31,5.88792550730961,True,False,高波动
2023-04-03,5.908944959712796,True,False,高波动
2023-04-04,5.849760552770154,True,False,高波动
2023-04-05,5.807899280258494,True,False,高波动
2023-04-06,5.779558318796766,True,False,高波动
2023-04-07,5.7540897021339,True,False,高波动
2023-04-10,5.684766817274009,True,False,高波动
2023-04-11,5.748497008456845,True,False,高波动
2023-04-12,5.755747982112597,True,False,高波动
2023-04-13,5.58349759999827,True,False,高波动
2023-04-14,5.594412583586398,True,False,高波动
2023-04-17,5.579697005733968,True,False,高波动
2023-04-18,5.580702688368742,True,False,高波动
2023-04-19,5.592811861093955,True,False,高波动
2023-04-20,5.622104300942661,True,False,高波动
2023-04-21,5.62934447361114,True,False,高波动
2023-04-24,5.648361942353775,True,False,高波动
2023-04-25,5.756319501500585,True,False,高波动
2023-04-26,5.739962463953333,True,False,高波动
2023-04-27,5.72302328411378,True,False,高波动
2023-04-28,5.783591586502078,True,False,高波动
2023-05-01,5.731625624730544,True,False,高波动
2023-05-02,5.632118749082153,True,False,高波动
2023-05-03,5.662508713159757,True,False,高波动
2023-05-04,5.647703352919333,True,False,高波动
2023-05-05,5.640923497670951,True,False,高波动
2023-05-08,5.636138864344056,True,False,高波动
2023-05-09,5.6478844501192045,True,False,高波动
2023-05-10,5.687006153725216,True,False,高波动
2023-05-11,5.684882775482978,True,False,高波动
2023-05-12,5.706929711030623,True,False,高波动
2023-05-15,5.712833661683823,True,False,高波动
2023-05-16,5.529761731575783,True,False,高波动
2023-05-17,5.562919166073796,True,False,高波动
2023-05-18,5.588526233656883,True,False,高波动
2023-05-19,5.559505018705977,True,False,高波动
2023-05-22,5.558890821579182,True,False,高波动
2023-05-23,5.549598558894269,True,False,高波动
2023-05-24,5.505547293794086,True,False,高波动
2023-05-25,5.526931964033106,True,False,高波动
2023-05-26,5.4729149938614885,True,False,高波动
2023-05-30,5.613920997626634,True,False,高波动
2023-05-31,5.619735252799666,True,False,高波动
2023-06-01,5.603848511335758,True,False,高波动
2023-06-02,5.6105459135543745,True,False,高波动
2023-06-05,5.336977717553355,True,False,高波动
2023-06-06,5.1377272735081165,True,False,高波动
2023-06-07,5.04712304636202,True,False,高波动
2023-06-08,4.835207042246466,True,False,高波动
2023-06-09,4.7301237951334985,True,False,高波动
2023-06-12,4.5008188169506385,False,False,平稳
2023-06-13,4.449529112850223,False,False,平稳
2023-06-14,4.4077721451729674,False,False,平稳
2023-06-15,4.245953049450216,False,False,平稳
2023-06-16,4.191541278332601,False,False,平稳
2023-06-20,4.199832832605424,False,False,平稳
2023-06-21,3.981671088902671,False,False,平稳
2023-06-22,3.973383653619097,False,False,平稳
2023-06-23,3.9838263362828723,False,False,平稳
2023-06-26,3.967378723659886,False,False,平稳
2023-06-27,3.923946954236386,False,False,平稳
2023-06-28,3.906270317236382,False,False,平稳
2023-06-29,3.945697133905296,False,False,平稳
2023-06-30,3.962980624287049,False,False,平稳
2023-07-03,3.9570324474710814,False,False,平稳
2023-07-05,3.9737310997028663,False,False,平稳
2023-07-06,4.053290908590329,False,False,平稳
2023-07-07,3.9788526360442056,False,False,平稳
2023-07-10,3.984695328335783,False,False,平稳
2023-07-11,3.9975151976433843,False,False,平稳
2023-07-12,4.137431882386685,False,False,平稳
2023-07-13,4.270184782553623,False,False,平稳
2023-07-14,4.304633909527132,False,False,平稳
2023-07-17,4.289055700410095,False,False,平稳
2023-07-18,4.266346583134535,False,False,平稳
2023-07-19,4.282192554573027,False,False,平稳
2023-07-20,4.330176709730391,False,False,平稳
2023-07-21,4.153920287199401,False,False,平稳
2023-07-24,4.14086983204401,False,False,平稳
2023-07-25,4.079913839032901,False,False,平稳
2023-07-26,3.99561324692256,False,False,平稳
2023-07-27,4.077015596395754,False,False,平稳
2023-07-28,4.107518959635208,False,False,平稳
2023-07-31,4.049345096227163,False,False,平稳
2023-08-01,4.093547495199929,False,False,平稳
2023-08-02,4.085874138943603,False,False,平稳
2023-08-03,4.157811453609062,False,False,平稳
