date,ret_tr_pct,ret_rmb_pct,hs250_var_95,rmb_hs250_var_95,hs250_var_99,rmb_hs250_var_99,hs500_var_95,rmb_hs500_var_95,hs500_var_99,rmb_hs500_var_99,hs750_var_95,rmb_hs750_var_95,hs750_var_99,rmb_hs750_var_99,fhs_sig_e,fhs_sig_g,rmb_fhs_sig_e,rmb_fhs_sig_g,fhs_e_var_95,fhs_g_var_95,rmb_fhs_e_var_95,rmb_fhs_g_var_95,fhs_e_var_99,fhs_g_var_99,rmb_fhs_e_var_99,rmb_fhs_g_var_99
2023-01-06,0.5914,-0.0356,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.31653,0.364892,0.473534,0.538698,,,,,,,,
2023-01-09,0.3756,-0.6092,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.339359,0.378825,0.459191,0.535679,,,,,,,,
2023-01-10,-0.2745,-0.1712,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.341642,0.37998,0.469545,0.537092,,,,,,,,
2023-01-11,0.3025,0.1992,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.33799,0.376565,0.457168,0.534389,,,,,,,,
2023-01-12,0.4632,-0.0329,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.335966,0.375213,0.445919,0.53197,,,,,,,,
2023-01-13,-0.156,-0.6844,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.344926,0.380195,0.432409,0.528977,,,,,,,,
2023-01-17,0.0725,1.1309,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.336595,0.374652,0.451512,0.531564,,,,,,,,
2023-01-18,0.6996,0.4201,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.326823,0.368468,0.518042,0.544644,,,,,,,,
2023-01-19,0.1217,0.4233,0.611115,0.75675,0.969614,1.135799,,,,,,,,,0.360238,0.387381,0.512693,0.543894,,,,,,,,
2023-01-20,-0.2989,-0.1705,0.60532,0.75675,0.969614,1.135799,,,,,,,,,0.350533,0.382165,0.507774,0.543209,,,,,,,,
2023-01-23,0.0,0.109,0.60532,0.75675,0.969614,1.135799,,,,,,,,,0.347652,0.379581,0.494073,0.540527,,,,,,,,
2023-01-24,0.0,0.0,0.60532,0.75675,0.969614,1.135799,,,,,,,,,0.337061,0.373413,0.479765,0.537745,,,,,,,,
2023-01-25,0.0,0.0,0.60532,0.75675,0.969614,1.135799,,,,,,,,,0.326792,0.367071,0.46515,0.534805,,,,,,,,
2023-01-26,-0.0222,-0.0222,0.60532,0.75675,0.969614,1.135799,,,,,,,,,0.316837,0.360478,0.450979,0.53193,,,,,,,,
2023-01-27,-0.0776,-0.0776,0.60532,0.75675,0.969614,1.135799,,,,,,,,,0.307233,0.353547,0.437275,0.529072,,,,,,,,
